name,parent,mirna
FBtr0078059,FBgn0004583,dme-miR-278-3p
FBtr0075673,FBgn0040487,dme-miR-79-3p
FBtr0078267,FBgn0011591,dme-miR-7-5p
FBtr0333013,FBgn0003963,dme-miR-8-3p
FBtr0075620,FBgn0026320,dme-miR-4-3p
FBtr0075130,FBgn0015946,dme-miR-308-3p
FBtr0075370,FBgn0036606,dme-miR-8-3p
FBtr0333474,FBgn0026206,dme-miR-137-3p
FBtr0081112,FBgn0003896,dme-miR-278-3p
FBtr0332561,FBgn0264442,dme-let-7-5p
FBtr0085828,FBgn0003870,dme-miR-312-3p
FBtr0299646,FBgn0259174,dme-miR-1-3p
FBtr0347158,FBgn0010473,dme-miR-1-3p
FBtr0071302,FBgn0040467,dme-miR-287-3p
FBtr0345924,FBgn0031099,dme-miR-1-3p
FBtr0075203,FBgn0000567,dme-miR-34-5p
FBtr0331843,FBgn0259174,dme-miR-1-3p
FBtr0075435,FBgn0044028,dme-miR-315-5p
FBtr0329832,FBgn0004583,dme-miR-278-3p
FBtr0333534,FBgn0260470,dme-miR-279-3p
FBtr0089161,FBgn0085432,dme-miR-8-3p
FBtr0340366,FBgn0265598,dme-miR-9a-5p
FBtr0301863,FBgn0010473,dme-miR-1-3p
FBtr0089686,FBgn0023023,dme-miR-287-3p
FBtr0074602,FBgn0001079,dme-miR-12-5p
FBtr0083352,FBgn0003944,dme-miR-iab-4-5p
FBtr0085826,FBgn0003870,dme-miR-312-3p
FBtr0329895,FBgn0003963,dme-miR-8-3p
FBtr0299642,FBgn0259174,dme-miR-1-3p
FBtr0081111,FBgn0003896,dme-miR-278-3p
FBtr0083388,FBgn0000014,dme-miR-iab-8-5p
FBtr0084949,FBgn0000206,dme-miR-286-3p
FBtr0333472,FBgn0040467,dme-miR-287-3p
FBtr0083383,FBgn0000015,dme-miR-iab-8-5p
FBtr0089159,FBgn0085432,dme-miR-8-3p
FBtr0083351,FBgn0003944,dme-miR-iab-4-5p
FBtr0299647,FBgn0259174,dme-miR-1-3p
FBtr0340341,FBgn0026206,dme-miR-137-3p
FBtr0074917,FBgn0020887,dme-miR-34-5p
FBtr0076123,FBgn0036198,dme-miR-1-3p
FBtr0078462,FBgn0037116,dme-miR-1-3p
FBtr0086009,FBgn0000546,dme-miR-14-3p
FBtr0332560,FBgn0264442,dme-let-7-5p
FBtr0084955,FBgn0002735,dme-miR-79-3p
FBtr0084958,FBgn0002609,dme-miR-7-5p
FBtr0084724,FBgn0051121,dme-miR-1-3p
FBtr0305696,FBgn0010825,dme-miR-8-3p
FBtr0112657,FBgn0085432,dme-miR-8-3p
FBtr0305796,FBgn0000567,dme-miR-34-5p
FBtr0300995,FBgn0052767,dme-miR-8-3p
FBtr0474151,FBgn0026206,dme-miR-137-3p
FBtr0304658,FBgn0000463,dme-miR-1-3p
FBtr0075862,FBgn0002573,dme-miR-9a-5p
FBtr0075557,FBgn0004396,dme-miR-92b-3p
FBtr0309803,FBgn0085432,dme-miR-8-3p
FBtr0332558,FBgn0264442,dme-let-7-5p
FBtr0333484,FBgn0010473,dme-miR-1-3p
FBtr0075120,FBgn0011706,dme-miR-6-3p
